ts_ms,sensor_id,valor(s),estado
1969-12-31T19:02:31,HC-SR04,14.97,ALERT
1969-12-31T19:02:32,HC-SR04,14.97,ALERT
1969-12-31T19:02:33,HC-SR04,14.97,ALERT
1969-12-31T19:02:34,HC-SR04,14.97,ALERT
1969-12-31T19:02:35,HC-SR04,14.97,ALERT
1969-12-31T19:02:36,HC-SR04,14.97,ALERT
1969-12-31T19:02:37,HC-SR04,14.97,ALERT
1969-12-31T19:02:38,HC-SR04,14.97,ALERT
1969-12-31T19:02:39,HC-SR04,14.97,ALERT
1969-12-31T19:02:40,HC-SR04,14.97,ALERT
1969-12-31T19:02:41,HC-SR04,14.97,ALERT
1969-12-31T19:02:42,HC-SR04,14.97,ALERT
1969-12-31T19:02:43,HC-SR04,14.97,ALERT
1969-12-31T19:02:44,HC-SR04,14.88,ALERT
1969-12-31T19:02:45,HC-SR04,14.88,ALERT
1969-12-31T19:02:46,HC-SR04,14.88,ALERT
1969-12-31T19:02:47,HC-SR04,14.87,ALERT
1969-12-31T19:02:48,HC-SR04,15.01,ALERT
1969-12-31T19:02:49,HC-SR04,14.92,ALERT
1969-12-31T19:02:50,HC-SR04,14.83,ALERT
1969-12-31T19:02:51,HC-SR04,21.09,ALERT
1969-12-31T19:02:52,HC-SR04,27.54,NORMAL
1969-12-31T19:02:53,HC-SR04,33.66,NORMAL
1969-12-31T19:02:54,HC-SR04,37.18,NORMAL
1969-12-31T19:02:55,HC-SR04,40.71,NORMAL
1969-12-31T19:02:56,HC-SR04,44.1,NORMAL
1969-12-31T19:02:57,HC-SR04,47.7,NORMAL
1969-12-31T19:02:58,HC-SR04,51.32,NORMAL
1969-12-31T19:02:59,HC-SR04,48.58,NORMAL
1969-12-31T19:03:00,HC-SR04,45.76,NORMAL
1969-12-31T19:03:01,HC-SR04,43.16,NORMAL
1969-12-31T19:03:02,HC-SR04,43.16,NORMAL
1969-12-31T19:03:03,HC-SR04,43.16,NORMAL
1969-12-31T19:03:04,HC-SR04,43.16,NORMAL
1969-12-31T19:03:05,HC-SR04,43.16,NORMAL
1969-12-31T19:03:06,HC-SR04,37.77,NORMAL
1969-12-31T19:03:07,HC-SR04,38.24,NORMAL
1969-12-31T19:03:08,HC-SR04,45.61,NORMAL
1969-12-31T19:03:09,HC-SR04,52.98,NORMAL
1969-12-31T19:03:10,HC-SR04,57.67,NORMAL
1969-12-31T19:03:11,HC-SR04,62.36,NORMAL
1969-12-31T19:03:12,HC-SR04,67.05,NORMAL
1969-12-31T19:03:13,HC-SR04,71.91,NORMAL
1969-12-31T19:03:14,HC-SR04,82.17,NORMAL
1969-12-31T19:03:15,HC-SR04,86.57,NORMAL
1969-12-31T19:03:16,HC-SR04,84.07,NORMAL
1969-12-31T19:03:17,HC-SR04,81.56,NORMAL
1969-12-31T19:03:18,HC-SR04,81.54,NORMAL
1969-12-31T19:03:19,HC-SR04,81.71,NORMAL
1969-12-31T19:03:20,HC-SR04,81.88,NORMAL
1969-12-31T19:03:21,HC-SR04,73.96,NORMAL
1969-12-31T19:03:22,HC-SR04,66.05,NORMAL
1969-12-31T19:03:23,HC-SR04,58.11,NORMAL
1969-12-31T19:03:24,HC-SR04,48.79,NORMAL
1969-12-31T19:03:25,HC-SR04,39.36,NORMAL
1969-12-31T19:03:26,HC-SR04,30.14,NORMAL
1969-12-31T19:03:27,HC-SR04,20.99,NORMAL
1969-12-31T19:03:28,HC-SR04,11.67,ALERT
1969-12-31T19:03:29,HC-SR04,10.18,ALERT
1969-12-31T19:03:30,HC-SR04,8.95,ALERT
1969-12-31T19:03:31,HC-SR04,7.55,ALERT
1969-12-31T19:03:32,HC-SR04,24.21,ALERT
1969-12-31T19:03:33,HC-SR04,40.98,NORMAL
1969-12-31T19:03:34,HC-SR04,57.74,NORMAL
1969-12-31T19:03:35,HC-SR04,74.23,NORMAL
1969-12-31T19:03:36,HC-SR04,90.89,NORMAL
1969-12-31T19:03:37,HC-SR04,107.64,NORMAL
1969-12-31T19:03:38,HC-SR04,106.53,NORMAL
1969-12-31T19:03:39,HC-SR04,105.6,NORMAL
1969-12-31T19:03:40,HC-SR04,88.0,NORMAL
1969-12-31T19:03:41,HC-SR04,70.4,NORMAL
1969-12-31T19:03:42,HC-SR04,54.67,NORMAL
1969-12-31T19:03:43,HC-SR04,38.94,NORMAL
1969-12-31T19:03:44,HC-SR04,23.21,NORMAL
1969-12-31T19:03:45,HC-SR04,21.58,NORMAL
1969-12-31T19:03:46,HC-SR04,37.55,NORMAL
1969-12-31T19:03:47,HC-SR04,53.52,NORMAL
1969-12-31T19:03:48,HC-SR04,69.49,NORMAL
1969-12-31T19:03:49,HC-SR04,85.46,NORMAL
1969-12-31T19:03:50,HC-SR04,99.56,NORMAL
1969-12-31T19:03:51,HC-SR04,113.66,NORMAL
1969-12-31T19:03:52,HC-SR04,127.76,NORMAL
1969-12-31T19:03:53,HC-SR04,127.76,NORMAL
1969-12-31T19:03:54,HC-SR04,111.79,NORMAL
1969-12-31T19:03:55,HC-SR04,95.82,NORMAL
1969-12-31T19:03:56,HC-SR04,79.85,NORMAL
1969-12-31T19:03:57,HC-SR04,63.88,NORMAL
1969-12-31T19:03:58,HC-SR04,47.91,NORMAL
1969-12-31T19:03:59,HC-SR04,31.94,NORMAL
1969-12-31T19:04:00,HC-SR04,15.97,ALERT
1969-12-31T19:04:01,HC-SR04,0.0,ALERT
1969-12-31T19:04:02,HC-SR04,0.0,ALERT
1969-12-31T19:04:03,HC-SR04,0.0,ALERT
1969-12-31T19:04:04,HC-SR04,0.0,ALERT
1969-12-31T19:04:05,HC-SR04,0.0,ALERT
1969-12-31T19:04:06,HC-SR04,0.0,ALERT
1969-12-31T19:04:07,HC-SR04,0.0,ALERT
1969-12-31T19:04:08,HC-SR04,0.0,ALERT
1969-12-31T19:04:09,HC-SR04,0.0,ALERT
1969-12-31T19:04:10,HC-SR04,0.0,ALERT
1969-12-31T19:04:11,HC-SR04,0.0,ALERT
1969-12-31T19:04:12,HC-SR04,0.0,ALERT
1969-12-31T19:04:13,HC-SR04,6.33,ALERT
1969-12-31T19:04:14,HC-SR04,12.65,ALERT
1969-12-31T19:04:15,HC-SR04,18.98,ALERT
1969-12-31T19:04:16,HC-SR04,37.46,NORMAL
1969-12-31T19:04:17,HC-SR04,55.93,NORMAL
1969-12-31T19:04:18,HC-SR04,74.39,NORMAL
1969-12-31T19:04:19,HC-SR04,92.86,NORMAL
1969-12-31T19:04:20,HC-SR04,111.32,NORMAL
1969-12-31T19:04:21,HC-SR04,123.46,NORMAL
1969-12-31T19:04:22,HC-SR04,135.6,NORMAL
1969-12-31T19:04:23,HC-SR04,147.74,NORMAL
1969-12-31T19:04:24,HC-SR04,147.73,NORMAL
1969-12-31T19:04:25,HC-SR04,147.73,NORMAL
1969-12-31T19:04:26,HC-SR04,129.26,NORMAL
1969-12-31T19:04:27,HC-SR04,110.8,NORMAL
1969-12-31T19:04:28,HC-SR04,92.81,NORMAL
1969-12-31T19:04:29,HC-SR04,74.81,NORMAL
1969-12-31T19:04:30,HC-SR04,56.82,NORMAL
1969-12-31T19:04:31,HC-SR04,41.56,NORMAL
1969-12-31T19:04:32,HC-SR04,26.48,NORMAL
1969-12-31T19:04:33,HC-SR04,11.32,ALERT
1969-12-31T19:04:34,HC-SR04,20.7,ALERT
1969-12-31T19:04:35,HC-SR04,29.62,NORMAL
1969-12-31T19:04:36,HC-SR04,38.07,NORMAL
1969-12-31T19:04:37,HC-SR04,40.66,NORMAL
1969-12-31T19:04:38,HC-SR04,44.19,NORMAL
1969-12-31T19:04:39,HC-SR04,44.98,NORMAL
1969-12-31T19:04:40,HC-SR04,45.59,NORMAL
1969-12-31T19:04:41,HC-SR04,46.28,NORMAL
1969-12-31T19:04:42,HC-SR04,40.89,NORMAL
1969-12-31T19:04:43,HC-SR04,35.97,NORMAL
1969-12-31T19:04:44,HC-SR04,31.05,NORMAL
1969-12-31T19:04:45,HC-SR04,31.98,NORMAL
1969-12-31T19:04:46,HC-SR04,31.98,NORMAL
1969-12-31T19:04:47,HC-SR04,31.98,NORMAL
1969-12-31T19:04:48,HC-SR04,31.98,NORMAL
1969-12-31T19:04:49,HC-SR04,31.98,NORMAL
1969-12-31T19:04:50,HC-SR04,31.98,NORMAL
1969-12-31T19:04:51,HC-SR04,31.98,NORMAL
1969-12-31T19:04:52,HC-SR04,31.99,NORMAL
1969-12-31T19:04:53,HC-SR04,31.99,NORMAL
1969-12-31T19:04:54,HC-SR04,31.98,NORMAL
1969-12-31T19:04:55,HC-SR04,31.98,NORMAL
1969-12-31T19:04:56,HC-SR04,31.98,NORMAL
1969-12-31T19:04:57,HC-SR04,31.98,NORMAL
1969-12-31T19:04:58,HC-SR04,31.98,NORMAL
1969-12-31T19:04:59,HC-SR04,31.98,NORMAL
1969-12-31T19:05:00,HC-SR04,31.98,NORMAL
1969-12-31T19:05:01,HC-SR04,31.98,NORMAL
1969-12-31T19:05:02,HC-SR04,31.98,NORMAL
1969-12-31T19:05:03,HC-SR04,31.98,NORMAL
1969-12-31T19:05:04,HC-SR04,31.99,NORMAL
1969-12-31T19:05:05,HC-SR04,31.98,NORMAL
1969-12-31T19:05:06,HC-SR04,31.98,NORMAL
1969-12-31T19:05:07,HC-SR04,31.98,NORMAL
1969-12-31T19:05:08,HC-SR04,31.98,NORMAL
1969-12-31T19:05:09,HC-SR04,31.99,NORMAL
1969-12-31T19:05:10,HC-SR04,31.99,NORMAL
1969-12-31T19:05:11,HC-SR04,31.99,NORMAL
1969-12-31T19:05:12,HC-SR04,31.98,NORMAL
1969-12-31T19:05:13,HC-SR04,31.99,NORMAL
1969-12-31T19:05:14,HC-SR04,31.99,NORMAL
1969-12-31T19:05:15,HC-SR04,31.99,NORMAL
1969-12-31T19:05:16,HC-SR04,31.98,NORMAL
1969-12-31T19:05:17,HC-SR04,31.98,NORMAL
1969-12-31T19:05:18,HC-SR04,31.98,NORMAL
1969-12-31T19:05:19,HC-SR04,43.86,NORMAL
1969-12-31T19:05:20,HC-SR04,55.74,NORMAL
1969-12-31T19:05:21,HC-SR04,67.63,NORMAL
1969-12-31T19:05:22,HC-SR04,79.51,NORMAL
1969-12-31T19:05:23,HC-SR04,91.41,NORMAL
1969-12-31T19:05:24,HC-SR04,103.29,NORMAL
1969-12-31T19:05:25,HC-SR04,115.18,NORMAL
1969-12-31T19:05:26,HC-SR04,127.05,NORMAL
1969-12-31T19:05:27,HC-SR04,127.06,NORMAL
1969-12-31T19:05:28,HC-SR04,127.06,NORMAL
1969-12-31T19:05:29,HC-SR04,127.06,NORMAL
1969-12-31T19:05:30,HC-SR04,127.05,NORMAL
1969-12-31T19:05:31,HC-SR04,127.04,NORMAL
1969-12-31T19:05:32,HC-SR04,127.04,NORMAL
1969-12-31T19:05:33,HC-SR04,127.03,NORMAL
1969-12-31T19:05:34,HC-SR04,127.03,NORMAL
1969-12-31T19:05:35,HC-SR04,127.03,NORMAL
1969-12-31T19:05:36,HC-SR04,127.03,NORMAL
1969-12-31T19:05:37,HC-SR04,127.03,NORMAL
1969-12-31T19:05:38,HC-SR04,127.04,NORMAL
1969-12-31T19:05:39,HC-SR04,127.04,NORMAL
